Grade (Decimal),Day,Month,Year,Weight (0.3/0.7),Point Total,
0.971,19,9,2019,0.7,100,
0.888,27,9,2019,0.7,100,
0.8555,16,10,2019,0.7,100,
0.96,28,10,2019,0.7,100,
0.96,7,11,2019,0.7,100,
1,4,9,2019,0.3,10,
1,5,9,2019,0.3,15,
1,5,9,2019,0.3,1,
1,6,9,2019,0.3,1,
1,9,9,2019,0.3,12,
1,10,9,2019,0.3,10,
1,11,9,2019,0.3,1,
1,12,9,2019,0.3,1,
1,16,9,2019,0.3,10,
1,17,9,2019,0.3,10,
0.97,18,9,2019,0.3,10,
1,19,9,2019,0.3,2,
1,20,9,2019,0.3,2,
1,23,9,2019,0.3,1,
1,24,9,2019,0.3,1,
0.94,24,9,2019,0.3,10,
1,27,9,2019,0.3,10,
1,27,9,2019,0.3,10,
1,3,10,2019,0.3,1,
1,4,10,2019,0.3,2,
1,11,10,2019,0.3,10,
1,11,10,2019,0.3,10,
1,11,10,2019,0.3,2,
0.8571,13,10,2019,0.3,14,
0.91,13,10,2019,0.3,10,
1,17,10,2019,0.3,10,
1,24,10,2019,0.3,10,
1,24,10,2019,0.3,1,
0.94,27,10,2019,0.3,10,
1,30,10,2019,0.3,2,
1,31,10,2019,0.3,1,
1,4,11,2019,0.3,19,
1,4,11,2019,0.3,10,
1,6,11,2019,0.3,15,
1,13,11,2019,0.7,100,QTR 2
0.95,18,11,2019,0.7,100,
0.866,4,12,2019,0.7,100,
1,7,1,2020,0.7,100,
0.94,24,1,2020,0.7,100,
1,8,11,2019,0.3,2,
0.98,12,11,2019,0.3,10,
0.5,15,11,2019,0.3,10,
1,15,11,2019,0.3,2,
0.9,19,11,2019,0.3,10,
1,21,11,2019,0.3,1,
1,22,11,2019,0.3,2,
1,25,11,2019,0.3,1,
1,26,11,2019,0.3,10,
0.9,2,12,2019,0.3,10,
1,5,12,2019,0.3,10,
1,10,12,2019,0.3,1,
1,11,12,2019,0.3,2,
1,11,12,2019,0.3,2,
1,13,12,2019,0.3,2,
1,16,12,2019,0.3,2,
1,18,12,2019,0.3,10,
1,18,12,2019,0.3,10,
1,18,12,2019,0.3,2,
0.98,6,1,2020,0.3,10,
1,9,1,2020,0.3,10,
1,9,1,2020,0.3,1,
1,10,1,2020,0.3,2,
1,14,1,2020,0.3,10,
1,15,1,2020,0.3,2,
0.9206,29,1,2020,0.7,100,QTR 3
1,3,1,2020,0.7,100,
0.965,6,1,2020,0.7,100,
0.96,29,1,2020,0.3,10,
1,3,2,2020,0.3,2,
1,6,2,2020,0.3,10,
1,11,2,2020,0.3,2,
1,12,2,2020,0.3,2,
1,13,2,2020,0.3,2,
0.75,14,2,2020,0.3,10,
0.93,24,2,2020,0.3,10,
0,2,3,2020,0.3,2,
1,3,3,2020,0.3,2,
1,4,3,2020,0.3,2,
1,5,3,2020,0.3,1,
1,6,3,2020,0.3,2,
1,8,3,2020,0.3,10,
1,9,3,2020,0.3,1,
1,9,3,2020,0.3,16,
1,10,3,2020,0.3,1,
1,11,3,2020,0.3,2,
1,12,3,2020,0.3,2,
1,16,3,2020,0.3,30,
1,2,4,2020,0.3,2,
1,2,4,2020,0.3,2,
1,2,4,2020,0.3,2,
1,6,4,2020,0.3,10,QTR 4
0,6,4,2020,0.3,2,
1,7,4,2020,0.3,10,
1,14,4,2020,0.3,5,
1,15,4,2020,0.3,2,
1,15,4,2020,0.3,1,
1,15,4,2020,0.3,2,
1,15,4,2020,0.3,2,
1,15,4,2020,0.3,2,
1,15,4,2020,0.3,2,
